qzh_tc,sm,tzm,lat,longi,year,month,pjqw,rzgqw,rzdqw,pjxdsd,jsl3,pjfs,rzss
58345,江苏,溧阳,3143,11948,2014,1,55.77419355,110.8387097,16.29032258,71.41935484,1062.193548,15.4516129,56.4516129
58358,江苏,吴县东山,3107,12043,2014,1,64.5483871,109.1935484,30.90322581,70.90322581,8.35483871,23.32258065,50.48387097
58436,安徽,宁国,3062,11898,2014,1,51.19354839,129.7096774,-2.741935484,65.38709677,9.322580645,15.29032258,53.70967742
58457,浙江,杭州市,3023,12017,2014,1,69.5483871,122.4193548,30.03225806,66.41935484,10.32258065,20.06451613,46.38709677
58464,浙江,嘉兴市,3062,12108,2014,1,60.83870968,107.9677419,22.61290323,77.19354839,10,26.93548387,48.38709677
58467,浙江,宁波市,3020,12127,2014,1,70.58064516,126.7741935,22.64516129,72,2117.354839,14.83870968,52.38709677
58472,浙江,舟山市,3073,12245,2014,1,77.12903226,99.93548387,56.41935484,70.4516129,4226.064516,62.32258065,61.70967742
58477,浙江,定海,3003,12210,2014,1,75.38709677,126.1290323,37.77419355,73.5483871,1061.419355,20.5483871,57.80645161
58531,安徽,屯溪,2972,11828,2014,1,53.90322581,130.5483871,4.161290323,74.25806452,1065.580645,10,57.80645161
58543,浙江,杭州市,2962,11902,2014,1,70.77419355,125.5483871,31.41935484,67.77419355,1061.677419,16.32258065,56.64516129
58549,浙江,金华市,2912,11965,2014,1,77.77419355,136.9032258,34.48387097,63.93548387,1062.290323,15.12903226,54.51612903
58556,浙江,绍兴市,2960,12082,2014,1,67.09677419,131.9032258,18.93548387,67.83870968,1064.83871,18.93548387,55.06451613
58562,浙江,鄞州(鄞县),2987,12157,2014,1,73.12903226,132.2903226,28.09677419,71.12903226,3173.193548,16.77419355,63.12903226
58569,浙江,湖州市,2920,12195,2014,1,79.16129032,121.6129032,47.83870968,70.67741935,1061.096774,43.25806452,58.90322581
58633,浙江,衢州市,2900,11890,2014,1,69,135.1612903,19.58064516,67.93548387,8.419354839,21.64516129,56.22580645
58634,江西,玉山,2868,11825,2014,1,71,140.1290323,20.77419355,66.67741935,9.032258065,17.29032258,52.41935484
58646,浙江,丽水市,2845,11992,2014,1,78.87096774,151.7096774,27.70967742,67.61290323,1059.548387,8.290322581,45.22580645
58665,浙江,台州市,2862,12142,2014,1,83.25806452,140.516129,43.06451613,67.16129032,3170.032258,18,55.25806452
58666,浙江,大陈岛,2845,12190,2014,1,89.74193548,116.5806452,68.03225806,73.03225806,1058.322581,61.38709677,57.5483871
58667,浙江,玉环,2808,12127,2014,1,91.61290323,131.2903226,62.4516129,66.09677419,2111.064516,37.29032258,63.77419355
58731,福建,浦城,2792,11853,2014,1,69.48387097,153.8709677,13.70967742,70.03225806,4.322580645,13.29032258,58.5483871
58752,浙江,温州市,2778,12065,2014,1,94.64516129,151.516129,58.06451613,67.25806452,2.193548387,21.06451613,55.41935484
58754,福建,福鼎,2733,12020,2014,1,95.25806452,165.0322581,48,62.61290323,1058.258065,14.03225806,58.41935484
58760,浙江,洞头,2783,12115,2014,1,92.51612903,128.6129032,67.61290323,68.06451613,1056.677419,33.70967742,64.35483871
58933,福建,屏南,2692,11898,2014,1,56.41935484,132.516129,6.193548387,72.35483871,3167.548387,15.5483871,61.29032258
58345,江苏,溧阳,3143,11948,2014,2,51.85714286,83.60714286,27.57142857,81.64285714,1210.357143,24.89285714,32.57142857
58358,江苏,吴县东山,3107,12043,2014,2,57.82142857,87.35714286,35.60714286,81.53571429,2386.285714,30.39285714,31.46428571
58436,安徽,宁国,3062,11898,2014,2,52.78571429,93,25.60714286,79.14285714,2381.678571,1183.75,25.46428571
58457,浙江,杭州市,3023,12017,2014,2,60.03571429,92.78571429,37.60714286,80.92857143,3559.25,23.89285714,19.75
58464,浙江,嘉兴市,3062,12108,2014,2,60.14285714,87.07142857,39.10714286,85.42857143,1227.714286,37.5,24.14285714
58467,浙江,宁波市,3020,12127,2014,2,64.14285714,93.82142857,39.53571429,83.14285714,1227.464286,20.32142857,21.03571429
58472,浙江,舟山市,3073,12245,2014,2,64.28571429,89.10714286,47.67857143,85.03571429,4711.464286,74.82142857,23.25
58477,浙江,定海,3003,12210,2014,2,72.82142857,102.4285714,50.92857143,84.67857143,2388.75,24.82142857,22.03571429
58531,安徽,屯溪,2972,11828,2014,2,65.21428571,107.5,38.28571429,82.96428571,2386.571429,14.25,24.42857143
58543,浙江,杭州市,2962,11902,2014,2,65.32142857,102.3928571,41.28571429,80.07142857,4721.428571,18.67857143,24.32142857
58549,浙江,金华市,2912,11965,2014,2,74.25,109.6428571,48.64285714,79.67857143,2383.892857,17.53571429,23.46428571
58556,浙江,绍兴市,2960,12082,2014,2,63.85714286,99.75,37.10714286,82.21428571,3546.928571,20.53571429,20.17857143
58562,浙江,鄞州(鄞县),2987,12157,2014,2,70.17857143,101.6071429,44.21428571,81.57142857,47.28571429,20.21428571,24.60714286
58569,浙江,湖州市,2920,12195,2014,2,71.60714286,100.6785714,50.46428571,84.53571429,1220.428571,50.64285714,24.89285714
58633,浙江,衢州市,2900,11890,2014,2,72.92857143,112.7142857,44.42857143,81.35714286,1217.964286,28.39285714,30.89285714
58634,江西,玉山,2868,11825,2014,2,75,119.9642857,44.92857143,79.32142857,64.39285714,22.67857143,24.25
58646,浙江,丽水市,2845,11992,2014,2,85.92857143,133.9285714,55.35714286,77.25,1201.5,10.89285714,25.60714286
58665,浙江,台州市,2862,12142,2014,2,82.5,116.5714286,58.21428571,78.07142857,1210.892857,21.57142857,24.03571429
58666,浙江,大陈岛,2845,12190,2014,2,79.17857143,98.10714286,63.17857143,85.35714286,1210.035714,76.03571429,26.21428571
58667,浙江,玉环,2808,12127,2014,2,81.28571429,111.8214286,59.89285714,80.03571429,38.71428571,45.85714286,24.57142857
58731,福建,浦城,2792,11853,2014,2,82.07142857,141.6428571,45.35714286,79.32142857,2375.928571,16.28571429,30.78571429
58752,浙江,温州市,2778,12065,2014,2,92.03571429,132.2142857,68.46428571,78.46428571,2374.5,22.46428571,24.39285714
58754,福建,福鼎,2733,12020,2014,2,99.92857143,145.6071429,71.5,71.85714286,3539.928571,15.17857143,30.53571429
58760,浙江,洞头,2783,12115,2014,2,85.46428571,109.6071429,67.64285714,80.03571429,37.39285714,38.21428571,27.25
58933,福建,屏南,2692,11898,2014,2,69.71428571,126.3214286,33.03571429,83.57142857,4707.107143,16.60714286,35.96428571
58345,江苏,溧阳,3143,11948,2014,3,118.3870968,167.0645161,77.25806452,70,1079.935484,20.25806452,60.06451613
58358,江苏,吴县东山,3107,12043,2014,3,118.9032258,161.5483871,85.25806452,71.25806452,1089.354839,29.29032258,59.22580645
58436,安徽,宁国,3062,11898,2014,3,121.0645161,188.3548387,70.38709677,65.5483871,3197.064516,18.35483871,55.96774194
58457,浙江,杭州市,3023,12017,2014,3,127.2903226,178.1935484,89.38709677,69,3189.967742,23.35483871,41.03225806
58464,浙江,嘉兴市,3062,12108,2014,3,109.7419355,151.5483871,76.48387097,78.80645161,3188.096774,34.58064516,51.09677419
58467,浙江,宁波市,3020,12127,2014,3,124.0967742,172.7419355,84.74193548,70.74193548,3187.096774,21.25806452,50.51612903
58472,浙江,舟山市,3073,12245,2014,3,101.483871,128.6774194,80.22580645,78.70967742,3181.225806,67.58064516,52.77419355
58477,浙江,定海,3003,12210,2014,3,110.8387097,155.5806452,77.5483871,77.5483871,5296.483871,23.4516129,55.19354839
58531,安徽,屯溪,2972,11828,2014,3,125.3870968,186.0645161,83.19354839,79.5483871,3223.806452,13.51612903,38.38709677
58543,浙江,杭州市,2962,11902,2014,3,123.6129032,176.6451613,88.29032258,74.38709677,1100.064516,17.77419355,43.48387097
58549,浙江,金华市,2912,11965,2014,3,134.2903226,183.8064516,97.35483871,70.22580645,2165.290323,17.96774194,41.12903226
58556,浙江,绍兴市,2960,12082,2014,3,123.0645161,177.1290323,80.09677419,71.12903226,5303.870968,21.41935484,41.87096774
58562,浙江,鄞州(鄞县),2987,12157,2014,3,124.5806452,176.0322581,86.22580645,72.09677419,4244.290323,21.16129032,49.80645161
58569,浙江,湖州市,2920,12195,2014,3,109.0645161,147.2258065,81.48387097,79.74193548,4252.193548,47.32258065,49
58633,浙江,衢州市,2900,11890,2014,3,128.1290323,180.6451613,90.29032258,76.06451613,2179.580645,26,40.03225806
58634,江西,玉山,2868,11825,2014,3,129.9032258,182.4516129,94.09677419,76.67741935,1155.322581,21.58064516,31.61290323
58646,浙江,丽水市,2845,11992,2014,3,134.7096774,193.6451613,93.29032258,73.93548387,1108.322581,9.709677419,31.5483871
58665,浙江,台州市,2862,12142,2014,3,124.5483871,168.8064516,89.03225806,75.38709677,5321.032258,18.96774194,44.77419355
58666,浙江,大陈岛,2845,12190,2014,3,110.1935484,136.7741935,90.22580645,83.83870968,36.25806452,60.25806452,45.25806452
58667,浙江,玉环,2808,12127,2014,3,116.7741935,152.3225806,90.96774194,80.12903226,3212.387097,37.96774194,45.83870968
58731,福建,浦城,2792,11853,2014,3,127.9032258,185.6451613,90,79.96774194,82.19354839,16,34.09677419
58752,浙江,温州市,2778,12065,2014,3,128,171.1935484,100.5483871,80,3214.548387,19.19354839,36.61290323
58754,福建,福鼎,2733,12020,2014,3,135.0967742,186.5483871,101.6129032,71.67741935,3235.741935,15.80645161,37.12903226
58760,浙江,洞头,2783,12115,2014,3,117.6774194,149.483871,95.90322581,80.22580645,2157.451613,32.90322581,43.90322581
58933,福建,屏南,2692,11898,2014,3,103.8709677,155.5806452,68.74193548,81.90322581,3279.967742,17.09677419,35.58064516
58345,江苏,溧阳,3143,11948,2014,4,161.4,202.9,126.6333333,75.53333333,1149.6,20.8,54.93333333
58358,江苏,吴县东山,3107,12043,2014,4,161.4333333,198.3333333,132.0666667,75.03333333,1136.033333,27.36666667,54.36666667
58436,安徽,宁国,3062,11898,2014,4,164.9666667,217.6,124.1666667,70.5,1130.5,17.73333333,43.3
58457,浙江,杭州市,3023,12017,2014,4,169.8666667,213.0333333,135.4666667,73.53333333,4387.566667,22.03333333,35.46666667
58464,浙江,嘉兴市,3062,12108,2014,4,150.8,185.5666667,121.4666667,84.6,5485.766667,34.8,37.63333333
